date,electric_turismo_registrations
2015-01-01,55
2015-02-01,51
2015-03-01,162
2015-04-01,111
2015-05-01,118
2015-06-01,173
2015-07-01,284
2015-08-01,117
2015-09-01,262
2015-10-01,431
2015-11-01,312
2015-12-01,169
2016-01-01,169
2016-02-01,180
2016-03-01,432
2016-04-01,381
2016-05-01,313
2016-06-01,202
2016-07-01,241
2016-08-01,154
2016-09-01,231
2016-10-01,195
2016-11-01,490
2016-12-01,431
2017-01-01,214
2017-02-01,294
2017-03-01,463
2017-04-01,336
2017-05-01,458
2017-06-01,677
2017-07-01,594
2017-08-01,631
2017-09-01,844
2017-10-01,1173
2017-11-01,617
2017-12-01,876
2018-01-01,712
2018-02-01,655
2018-03-01,743
2018-04-01,711
2018-05-01,620
2018-06-01,891
2018-07-01,754
2018-08-01,606
2018-09-01,889
2018-10-01,1120
2018-11-01,1187
2018-12-01,2257
2019-01-01,1207
2019-02-01,1351
2019-03-01,1766
2019-04-01,1078
2019-05-01,1396
2019-06-01,1511
2019-07-01,1002
2019-08-01,674
2019-09-01,939
2019-10-01,985
2019-11-01,940
2019-12-01,1129
2020-01-01,1763
2020-02-01,1719
2020-03-01,828
2020-04-01,95
2020-05-01,402
2020-06-01,870
2020-07-01,1618
2020-08-01,1308
2020-09-01,2146
2020-10-01,1948
2020-11-01,2056
2020-12-01,4444
2021-01-01,615
2021-02-01,1038
2021-03-01,2170
2021-04-01,1536
2021-05-01,1915
2021-06-01,2713
2021-07-01,1715
2021-08-01,1465
2021-09-01,3084
2021-10-01,2603
2021-11-01,3067
2021-12-01,3752
2022-01-01,1940
2022-02-01,2670
2022-03-01,3325
2022-04-01,2095
2022-05-01,2229
2022-06-01,3280
2022-07-01,2271
2022-08-01,1589
2022-09-01,3480
2022-10-01,2885
2022-11-01,3603
2022-12-01,3755
2023-01-01,3522
2023-02-01,3768
2023-03-01,4861
2023-04-01,3828
2023-05-01,4755
2023-06-01,6074
2023-07-01,3795
2023-08-01,3943
2023-09-01,4063
2023-10-01,5881
2023-11-01,6582
2023-12-01,6309
