provincia,municipio,localidad,codigo_postal,direccion,margen,longitude,latitude,rotulo,tipo_venta,rem,horario,tipo_servicio,source_dataset,carretera,distance_to_route_km,is_interurban_match
ALBACETE,ABENGIBRE,ABENGIBRE,2250,"AVENIDA CASTILLA LA MANCHA, 26",D,-1.539167,39.211417,Nº 10.935,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00 (A),Geoportal Gasolineras,N-322A,7.587494817248661,True
ALBACETE,ALATOZ,ALATOZ,2152,"CR CM-332, 46,4",I,-1.346083,39.100389,REPSOL,P,dm,L-D: 7:00-23:00,L-D: 7:00-23:00 (A),Geoportal Gasolineras,,26.54182865480458,False
ALBACETE,ALBACETE,ALBACETE,2001,"AVENIDA 1º DE MAYO, S/N",N,-1.8685,38.985667,CARREFOUR,P,dm,L-S: 08:00-22:00; D: 09:00-21:00,L-S: 08:00-22:00 (A); D: 09:00-21:00 (A),Geoportal Gasolineras,A-31,3.377934601331161,True
ALBACETE,ALBACETE,ALBACETE,2001,"CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5",I,-1.832,39.054694,BP ROMICA,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (P),Geoportal Gasolineras,N-322,0.17582856647356507,True
ALBACETE,ALBACETE,ALBACETE,2001,"CALLE FEDERICO GARCIA LORCA, 5",I,-1.846361,38.997722,MOEVE,R,dm,L-S: 05:00-23:00,L-S: 05:00-23:00 (A),Geoportal Gasolineras,A-31,0.37177342413861875,True
ALBACETE,ALBACETE,ALBACETE,2001,"CALLE FEDERICO GARCIA LORCA, 1",D,-1.849833,39.000861,PLENERGY,P,dm,L-D: 24H,L-D: 24H (D),Geoportal Gasolineras,A-31,0.45826883720359507,True
ALBACETE,ALBACETE,ALBACETE,2005,"CL PASEO DE LA CUBA, 15",D,-1.854556,38.999722,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (A),Geoportal Gasolineras,A-31,0.9898228834130117,True
ALBACETE,ALBACETE,ALBACETE,2005,"AVENIDA ESCRITOR RODRIGO RUBIO, 3",D,-1.885361,39.006889,A&A,P,dm,L-S: 09:00-21:30,Sin datos,Geoportal Gasolineras,N-322,0.155353955235092,True
ALBACETE,ALBACETE,ALBACETE,2005,"AVENIDA MENÉNDEZ PIDAL, 58",D,-1.864917,39.003333,PLENERGY,P,dm,L-D: 24H,L-D: 24H (D),Geoportal Gasolineras,N-322,1.16205639198243,True
ALBACETE,ALBACETE,ALBACETE,2005,"CALLE CONSTANTINO ROMERO, S/N",D,-1.884444,39.005528,PLENERGY,P,dm,L-D: 24H,L-D: 24H (D),Geoportal Gasolineras,N-322,0.3751332471105551,True
ALBACETE,ALBACETE,ALBACETE,2005,"PASEO CUBA (LA), 36",N,-1.859917,39.005083,MOEVE,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (P),Geoportal Gasolineras,N-322,0.9980082403990814,True
ALBACETE,ALBACETE,ALBACETE,2002,"CALLE HERMANOS FALCÓ, 2",D,-1.849028,38.98925,CEPSA,P,dm,L-D: 06:30-22:30,Sin datos,Geoportal Gasolineras,A-31,1.2710553983769273,True
ALBACETE,ALBACETE,ALBACETE,2006,"CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N",N,-1.847361,38.988972,FAMILY ENERGY,P,dm,L-S: 07:00-23:00; D: 08:00-23:00,L-S: 07:00-23:00 (A); D: 08:00-23:00 (A),Geoportal Gasolineras,A-31,1.1415465532896523,True
ALBACETE,ALBACETE,ALBACETE,2006,"AVDA. DE LOS TOREROS, S/N",N,-1.869889,38.998222,INPEALSA,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00 (P),Geoportal Gasolineras,N-322,1.931552867857628,True
ALBACETE,ALBACETE,ALBACETE,2006,"PG CAMPOLLANO-P. 2-CT, S.N.",D,-1.874972,39.012583,REPSOL,P,OM,L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00,L-V: 06:00-22:00 (A); S: 07:30-15:30 (A); D: 09:00-15:00 (A),Geoportal Gasolineras,N-322,0.1561744962048221,True
ALBACETE,ALBACETE,ALBACETE,2006,"CARRETERA M 3203 KM. 2,6",D,-1.875944,38.963972,LA PULGOSA,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00 (A),Geoportal Gasolineras,A-32,4.020839094403742,True
ALBACETE,ALBACETE,ALBACETE,2006,"CR N-322, 337,8",I,-2.031861,38.925833,REPSOL,P,dm,L-D: 07:00-21:30,L-D: 07:00-21:30 (P),Geoportal Gasolineras,N-322,2.564113541432184e-05,True
ALBACETE,ALBACETE,ALBACETE,2006,CARRETERA NACIONAL 322 PTO KM 347 KM. 347,D,-1.9355,38.965639,P347,P,dm,L-S: 07:00-22:00,L-S: 07:00-22:00 (A),Geoportal Gasolineras,N-322,0.19457009478688905,True
ALBACETE,ALBACETE,ALBACETE,2006,CARRETERA JAEN KM. 186,N,-1.888667,38.986028,FAST FUEL ALBACETE,P,dm,L-D: 24H,L-D: 24H (D),Geoportal Gasolineras,N-430,2.5064881667817662,True
ALBACETE,ALBACETE,ALBACETE,2006,"CR N-301, 244",I,-1.892972,39.027778,REPSOL,P,OM,L-D: 24H,L-D: 24H (A),Geoportal Gasolineras,A-31,0.5715677533396885,True
ALBACETE,ALBACETE,ALBACETE,2006,CARRETERA N-322 KM. 359,D,-1.845083,39.033139,REPSOL,P,dm,L-V: 07:00-21:00; S-D: 09:00-14:00,L-V: 07:00-21:00 (A); S-D: 09:00-14:00 (A),Geoportal Gasolineras,N-322,0.027407043545432268,True
ALBACETE,ALBACETE,ALBACETE,2006,"CALLE CTRA. DE JAEN, 79",I,-1.883694,38.988111,REPSOL,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00 (P),Geoportal Gasolineras,N-430,2.6377467976354723,True
ALBACETE,ALBACETE,ALBACETE,2006,"AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N",N,-1.853306,38.982167,INPEALSA,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00 (P),Geoportal Gasolineras,A-31,2.2659493112537183,True
ALBACETE,ALBACETE,ALBACETE,2006,CARRETERA JAEN KM. 2,D,-1.871722,38.994667,REPSOL,P,dm,L-D: 24H,L-D: 24H (A),Geoportal Gasolineras,N-322,2.3805389474523886,True
