municipality_code,municipality_name,population_year,municipal_population
01001,Alegría-Dulantzi,2025,2961.0
01002,Amurrio,2025,10346.0
01003,Aramaio,2025,1353.0
01004,Artziniega,2025,1868.0
01006,Armiñón,2025,233.0
01008,Arratzua-Ubarrundia,2025,1058.0
01009,Asparrena,2025,1611.0
01010,Ayala/Aiara,2025,2917.0
01011,Baños de Ebro/Mañueta,2025,292.0
01013,Barrundia,2025,882.0
01014,Berantevilla,2025,475.0
01016,Bernedo,2025,541.0
01017,Campezo/Kanpezu,2025,1071.0
01018,Zigoitia,2025,1841.0
01019,Kripan,2025,175.0
01020,Kuartango,2025,402.0
01021,Elburgo/Burgelu,2025,641.0
01022,Elciego,2025,970.0
01023,Elvillar/Bilar,2025,315.0
01027,Iruraiz-Gauna,2025,556.0
01028,Labastida/Bastida,2025,1573.0
01030,Lagrán,2025,177.0
01031,Laguardia,2025,1468.0
01032,Lanciego/Lantziego,2025,706.0
01033,Lapuebla de Labarca,2025,895.0
01034,Leza,2025,204.0
01036,Laudio/Llodio,2025,18063.0
01037,Arraia-Maeztu,2025,818.0
01039,Moreda de Álava/Moreda Araba,2025,218.0
01041,Navaridas,2025,200.0
01042,Okondo,2025,1180.0
01043,Oyón-Oion,2025,3541.0
01044,Peñacerrada-Urizaharra,2025,332.0
01046,Erriberagoitia/Ribera Alta,2025,842.0
01047,Ribera Baja/Erriberabeitia,2025,1493.0
01049,Añana,2025,141.0
01051,Agurain/Salvatierra,2025,5173.0
01052,Samaniego,2025,292.0
01053,San Millán/Donemiliaga,2025,704.0
01054,Urkabustaiz,2025,1460.0
01055,Valdegovía/Gaubea,2025,1063.0
01056,Harana/Valle de Arana,2025,213.0
01057,Villabuena de Álava/Eskuernaga,2025,280.0
01058,Legutio,2025,2094.0
01059,Vitoria-Gasteiz,2025,260402.0
01060,Yécora/Iekora,2025,276.0
01061,Zalduondo,2025,196.0
01062,Zambrana,2025,452.0
01063,Zuia,2025,2365.0
01901,Iruña Oka/Iruña de Oca,2025,3697.0
01902,Lantarón,2025,935.0
02001,Abengibre,2025,747.0
02002,Alatoz,2025,506.0
02003,Albacete,2025,175068.0
02004,Albatana,2025,653.0
02005,Alborea,2025,688.0
02006,Alcadozo,2025,638.0
02007,Alcalá del Júcar,2025,1156.0
02008,Alcaraz,2025,1281.0
02009,Almansa,2025,24603.0
02010,Alpera,2025,2320.0
02011,Ayna,2025,575.0
02012,Balazote,2025,2368.0
02013,Balsa de Ves,2025,124.0
02014,"Ballestero, El",2025,411.0
02015,Barrax,2025,1872.0
02016,Bienservida,2025,549.0
02017,Bogarra,2025,730.0
02018,Bonete,2025,948.0
02019,"Bonillo, El",2025,2646.0
02020,Carcelén,2025,490.0
02021,Casas de Juan Núñez,2025,1421.0
02022,Casas de Lázaro,2025,297.0
02023,Casas de Ves,2025,530.0
02024,Casas-Ibáñez,2025,4614.0
02025,Caudete,2025,10481.0
02026,Cenizate,2025,1167.0
02027,Corral-Rubio,2025,302.0
02028,Cotillas,2025,123.0
02029,Chinchilla de Monte-Aragón,2025,4659.0
02030,Elche de la Sierra,2025,3606.0
02031,Férez,2025,604.0
02032,Fuensanta,2025,294.0
02033,Fuente-Álamo,2025,2426.0
02034,Fuentealbilla,2025,1798.0
02035,"Gineta, La",2025,2652.0
02036,Golosalvo,2025,79.0
02037,Hellín,2025,30911.0
02038,"Herrera, La",2025,316.0
02039,Higueruela,2025,1142.0
02040,Hoya-Gonzalo,2025,582.0
02041,Jorquera,2025,358.0
02042,Letur,2025,908.0
02043,Lezuza,2025,1293.0
02044,Liétor,2025,1050.0
02045,Madrigueras,2025,4670.0
02046,Mahora,2025,1478.0
02047,Masegoso,2025,117.0
02048,Minaya,2025,1410.0
02049,Molinicos,2025,756.0
02050,Montalvos,2025,74.0
02051,Montealegre del Castillo,2025,2049.0
02052,Motilleja,2025,680.0
02053,Munera,2025,3358.0
02054,Navas de Jorquera,2025,514.0
02055,Nerpio,2025,1139.0
02056,Ontur,2025,1892.0
02057,Ossa de Montiel,2025,2236.0
02058,Paterna del Madera,2025,329.0
02059,Peñascosa,2025,330.0
02060,Peñas de San Pedro,2025,1493.0
02061,Pétrola,2025,659.0
02062,Povedilla,2025,379.0
02063,Pozohondo,2025,1541.0
02064,Pozo-Lorente,2025,394.0
02065,Pozuelo,2025,455.0
02066,"Recueja, La",2025,215.0
02067,Riópar,2025,1341.0
02068,Robledo,2025,390.0
02069,"Roda, La",2025,15792.0
02070,Salobre,2025,444.0
02071,San Pedro,2025,1158.0
02072,Socovos,2025,1654.0
02073,Tarazona de la Mancha,2025,6136.0
02074,Tobarra,2025,8002.0
02075,Valdeganga,2025,1985.0
02076,Vianos,2025,318.0
02077,Villa de Ves,2025,50.0
02078,Villalgordo del Júcar,2025,1177.0
02079,Villamalea,2025,4072.0
02080,Villapalacios,2025,543.0
02081,Villarrobledo,2025,25418.0
02082,Villatoya,2025,114.0
02083,Villavaliente,2025,191.0
02084,Villaverde de Guadalimar,2025,326.0
02085,Viveros,2025,294.0
02086,Yeste,2025,2482.0
02901,Pozo Cañada,2025,2710.0
03001,"Atzúbia, l'",2025,601.0
03002,Agost,2025,5224.0
03003,Agres,2025,625.0
03004,Aigües,2025,1187.0
03005,Albatera,2025,13476.0
03006,Alcalalí,2025,1405.0
03007,Alcosser,2025,263.0
03008,Alcoleja,2025,186.0
03009,Alcoi/Alcoy,2025,61613.0
03010,Alfafara,2025,417.0
03011,"Alfàs del Pi, l'",2025,21046.0
03012,Algorfa,2025,3749.0
03013,Algueña,2025,1327.0
03014,Alacant/Alicante,2025,365586.0
03015,Almoradí,2025,22874.0
03016,Almudaina,2025,127.0
03017,"Alqueria d'Asnar, l'",2025,519.0
03018,Altea,2025,24731.0
03019,Aspe,2025,22354.0
03020,Balones,2025,133.0
03021,Banyeres de Mariola,2025,7336.0
03022,Benasau,2025,174.0
03023,Beneixama,2025,1704.0
03024,Benejúzar,2025,5829.0
03025,Benferri,2025,2098.0
03026,Beniarbeig,2025,2540.0
03027,Beniardà,2025,233.0
03028,Beniarrés,2025,1116.0
03029,Benigembla,2025,581.0
03030,Benidoleig,2025,1274.0
03031,Benidorm,2025,77211.0
03032,Benifallim,2025,130.0
03033,Benifato,2025,160.0
03034,Benijófar,2025,3696.0
03035,Benilloba,2025,746.0
03036,Benillup,2025,111.0
03037,Benimantell,2025,544.0
03038,Benimarfull,2025,465.0
03039,Benimassot,2025,85.0
03040,Benimeli,2025,474.0
03041,Benissa,2025,12524.0
