carretera,traffic_imd_total,traffic_imd_pesado,traffic_match_count,traffic_heavy_share
A-1,28295.70530292024,4000.2549179137004,74.0,0.14137321812935535
A-11,6398.077388209144,1346.1603188358965,30.0,0.21040075590781404
A-11R,3333.0,1506.0,1.0,0.45184518451845185
A-12,10089.03941282928,1896.6328172129497,13.0,0.18798943483174232
A-13,23468.228406909784,1447.2341650671783,3.0,0.061667806362454995
A-14,11387.336614173228,2505.763779527559,3.0,0.22004827506449268
A-14-R2,6139.0,638.0,1.0,0.10392572080143346
A-15,4778.010387087131,1390.7508593633233,21.0,0.29107321807460146
A-1A,24624.939024390245,2562.674796747968,4.0,0.1040682697410831
A-2,37830.97826927207,7205.556094767733,149.0,0.1904670834436336
A-21,3448.455301949595,202.76462196861618,14.0,0.05879868063071096
A-22,9407.86384722437,1449.567528735632,28.0,0.15408041105561943
A-22-R1,3778.0,77.0,1.0,0.02038115404976178
A-22-R2,6879.615023474179,1100.8028169014085,2.0,0.1600093628997146
A-23,12128.193905454304,2371.4853203648204,87.0,0.195534911368651
A-26,12385.558672276764,1137.1505376344087,9.0,0.09181261562142945
A-27,24412.353828079104,2830.86352065792,20.0,0.1159602855420627
A-3,32898.74438564791,5359.5122397177765,64.0,0.16290932495453736
A-30,31219.052942101953,3702.827761170547,50.0,0.11860794650105869
A-31,24237.935897435895,3616.613659427643,57.0,0.1492129393662701
A-32,7172.512299882857,600.0590589613432,16.0,0.08366093132683
A-33,6257.411207335711,1752.5173713703514,14.0,0.28007067352643117
A-35,21702.447267664465,6569.027845457711,8.0,0.30268604109202124
A-38,22844.68712366837,2340.8740157480315,7.0,0.10246907751793001
A-381,75125.0,4291.0,1.0,0.057118136439267886
A-4,31736.845887365438,5425.831950730677,143.0,0.1709631754203628
A-40,5314.877875539914,652.4612701967685,49.0,0.12276129112947641
A-41,7756.697701371449,651.6584894726675,12.0,0.08401236126005644
A-42,67238.01720524981,4542.476563361641,28.0,0.06755815760442997
A-43,9610.555296247938,2380.820400816639,38.0,0.24772974374811998
A-44,18879.167210473315,2437.5857804632433,38.0,0.12911511155592606
A-45,21699.469123524577,2365.379785783655,31.0,0.10900634353396815
A-48,21998.56036069194,1012.2232241442767,9.0,0.04601315756793634
A-49,30610.41107834337,2863.352352865752,34.0,0.09354178045951012
A-4A,23385.27962085308,6210.071090047393,2.0,0.2655547075224946
A-4R1,11299.700970873786,1836.285436893204,3.0,0.1625074364026473
A-4R2,3889.0,882.0,1.0,0.22679352018513757
A-5,24566.932763571378,2853.296088462744,98.0,0.11614376592806495
A-50,7741.034983325706,873.5894853854705,21.0,0.11285176817663195
A-52,10121.146964716198,1645.9202498356349,54.0,0.1626219099054242
A-54,7516.642778471254,737.6297084954844,20.0,0.09813286732318342
A-55,40857.81027361899,2768.1621063500256,10.0,0.06775111264681183
A-58,6020.666491661518,504.28990117356386,12.0,0.08375981328180086
A-5R,122690.63622974962,4750.8777614138435,3.0,0.03872241523401495
A-6,19213.136335315045,2687.1567408292017,116.0,0.13986038999213396
A-60,7036.096778350516,802.9036082474228,10.0,0.11411207570621973
A-62,15252.152525335277,3662.74099233244,86.0,0.24014584080825827
A-63,12972.398614281708,757.1161440185831,11.0,0.05836362006214108
A-64,21619.671634729122,1382.8469363614856,7.0,0.06396243938044491
A-65,8370.144040670306,1063.039163999247,8.0,0.12700368820822774
A-66,11913.859188181706,1818.0408890553508,170.0,0.15259882296232008
A-66R,2245.9208770257387,303.5071496663489,2.0,0.1351370623831957
A-67,13770.514935132262,1332.9581093871764,59.0,0.09679798581725105
A-68,32806.4220472441,5524.640801717967,13.0,0.16840119881899965
A-7,41396.77583880703,7809.7233090715445,102.0,0.1886553517955471
A-70,50624.21708633092,3563.2935251798554,19.0,0.07038713347612408
A-73,12592.961214165261,2578.822934232715,2.0,0.2047828854846239
A-73R,2527.0,775.0,1.0,0.30668777206173325
A-75,3951.0,829.0,1.0,0.20982029865856744
A-77,20658.999999999996,1480.0,2.0,0.07163947916162448
A-77A,30611.69471947195,1146.2062706270626,2.0,0.03744341112542085
